100,1000,0.0057556,0.0060690,0.0069917
200,1000,0.0062375,0.0071282,0.0069367
300,1000,0.0069286,0.0072007,0.0072404
5,20000,0.1260567,0.1415081,0.1660623
5,40000,0.2873299,0.3215933,0.3458063
5,60000,0.5107827,0.6156911,0.6588332
5,80000,0.4459948,0.5236967,0.6025414
5,100000,0.5650536,0.6786289,0.7472544
100,1000,0.0057242,0.0060761,0.0063693
200,1000,0.0057084,0.0060232,0.0065591
300,1000,0.0057381,0.0064872,0.0069220
400,1000,0.0070310,0.0082506,0.0078536

# NOW ADD INDICES
5,20000,0.0599244,0.0785637,0.0903357
5,40000,0.1435741,0.1798947,0.2099763
5,60000,0.2244814,0.2783520,0.3508333
100,1000,0.0025254,0.0033211,0.0033568
200,1000,0.0025530,0.0030138,0.0030097
300,1000,0.0024000,0.0031980,0.0032712
400,1000,0.0027718,0.0034029,0.0033444
5,20000,0.0670486,0.0821404,0.0929111
5,40000,0.1404749,0.1617242,0.1850801
5,60000,0.1918070,0.2562302,0.3008041
5,80000,0.2345927,0.3296300,0.4125801
5,100000,0.3299019,0.4865218,0.5896843
